:START_ID,:END_ID,relation,concepts,synsets,:TYPE
google docs,minutes,use,[],[],Relation
action list,important,is,[],[],Relation
QC groups,add,should,[],[],Relation
powerboard mass tester,list,add,[],[],Relation
module thermal cycling setup,list,add,[],[],Relation
hybrid crate setup,list,add,[],[],Relation
Hybrid crate status,do,should,[],[],Relation
FMC-DP,trickier,be,[],[],Relation
output buffers,trickiness,cause,[],[],Relation
UV LED driver,no questions,has,[],[],Relation
DCDC coil order,be run,need,[],[],Relation
Uli,sign-off,need,[],[],Relation
Didier et al.,sign-off,need,[],[],Relation
QC steps,magnet tests,include,[],[],Relation
QC steps,irradiation,include,[],[],Relation
QC steps,temperature range,include,[],[],Relation
QC steps,solder joint,include,[],[],Relation
QC steps,purchasing components,include,[],[],Relation
Barrel powerboards,not,should,[],[],Relation
Barrel hybrids,not,should,[],[],Relation
EC,not,should,[],[],Relation
Review office,happy,is,[],[],Relation
email,volunteers,send,[],[],Relation
QC document,Timon/Carl/Satish,write,[],[],Relation
review office,Tony A,contact,[],[],Relation
The participants decided to appear in the minutes from next week onwards.,The minutes will appear in this space from next week onwards.,because,[],[],Relation
Craig introduced the topic of minutes.,Suggestion for minutes - (Bart) suggestion to use google docs for minutes and allow others to help with minuting.,at the same time,[],[],Relation
Bart suggested using Google Docs for minutes and allowing others to help with minuting.,Phil pointed out that the action list is probably the most important part of all of this.,at the same time,[],[],Relation
Phil pointed out that the action list is probably the most important part of all of this.,The participants discussed the QC groups.,at the same time,[],[],Relation
Tony suggested adding a hybrid/module assembly group to the list.,Craig agreed to add this to the list in 3 months or so.,because,[],[],Relation
Craig agreed to add the hybrid/module assembly group to the list in 3 months or so.,"They discussed the powerboard mass tester, module thermal cycling setup, and hybrid crate setup.",because,[],[],Relation
Ash reported on the hybrid crate status.,Craig suggested doing the same on FMC-DP.,at the same time,[],[],Relation
Craig suggested doing the same on FMC-DP.,Vitaliy pointed out that it would be bit trickier due to output buffers.,because,[],[],Relation
Vitaliy pointed out that it would be bit trickier due to output buffers.,They discussed the possible solutions such as back termination.,because,[],[],Relation
Craig reported on the UV LED driver.,There were no questions.,at the same time,[],[],Relation
Carl reported on the DCDC coil order.,Barrel (Timon) was happy to sign-off.,at the same time,[],[],Relation
Barrel (Timon) was happy to sign-off.,Tony and Craig agreed that they would need to run it past Uli for BMBF part.,because,[],[],Relation
Tony and Craig agreed that they would need to run it past Uli for BMBF part.,They also needed to run it past Didier et al.,because,[],[],Relation
Tony and Craig agreed that they would need to run it past Didier et al.,This could be done along with the passive components.,because,[],[],Relation
Dennis agreed that Timon was happy.,Ulli was also happy.,because,[],[],Relation
Ulli was also happy.,Craig asked about the QC steps.,because,[],[],Relation
Craig asked about the QC steps.,Satish answered that the QC steps would include magnet tests at Yale and irradiation at BNL.,because,[],[],Relation
Satish answered that the QC steps would include magnet tests at Yale and irradiation at BNL.,"Carl, Satish, and Timon were tasked with writing a document on the QC steps.",because,[],[],Relation
"Carl, Satish, and Timon were tasked with writing a document on the QC steps.",Tony A was tasked with contacting the review office about coil ordering.,because,[],[],Relation
Craig assigned tasks to the participants.,The participants agreed on the tasks and the next steps.,after,[],[],Relation
Suggestion for minutes to use Google Docs was made by Bart.,Bart,is participated by,[],[],Relation
Suggestion for minutes to use Google Docs was made by Bart.,Craig,is participated by,[],[],Relation
Suggestion for minutes to use Google Docs was made by Bart.,Phil,is participated by,[],[],Relation
"QC groups should be added to the list, including a hybrid/module assembly group.",Tony,is participated by,[],[],Relation
"QC groups should be added to the list, including a hybrid/module assembly group.",Craig,is participated by,[],[],Relation
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.",Ash,is participated by,[],[],Relation
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.",Craig,is participated by,[],[],Relation
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.",Vitaliy,is participated by,[],[],Relation
UV LED driver was discussed without any questions.,Craig,is participated by,[],[],Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Carl,is participated by,[],[],Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Timon,is participated by,[],[],Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Tony,is participated by,[],[],Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Craig,is participated by,[],[],Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Ulli,is participated by,[],[],Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Dennis,is participated by,[],[],Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Satish,is participated by,[],[],Relation
"QC steps for coil order were discussed, with Satish answering.",Carl,is participated by,[],[],Relation
"QC steps for coil order were discussed, with Satish answering.",Satish,is participated by,[],[],Relation
"QC steps for coil order were discussed, with Satish answering.",Timon,is participated by,[],[],Relation
Email was sent around for volunteers for QC groups.,Craig,is participated by,[],[],Relation
QC document for coils was assigned to Timon/Carl/Satish to write.,Timon,is participated by,[],[],Relation
QC document for coils was assigned to Timon/Carl/Satish to write.,Carl,is participated by,[],[],Relation
QC document for coils was assigned to Timon/Carl/Satish to write.,Satish,is participated by,[],[],Relation
Review office was contacted about coil ordering by Tony A.,Tony A,is participated by,[],[],Relation
Minutes,Strip Module Meeting,carry,[],[],Relation
Actions,over,carry,[],[],Relation
QC document,coils,write,[],[],Relation
QC document,pre-production,bring,[],[],Relation
QC groups,documents,comply,[],[],Relation
Updates,Craig & Ingo,give,[],[],Relation
Updates,topics,focus,[],[],Relation
Instructions,pre-production,need,[],[],Relation
FMC-DP,email,send,[],[],Relation
FMC-DP,google doc,update,[],[],Relation
Site Qualification Survey,email,send,[],[],Relation
FDR,documents,start,[],[],Relation
Electrical tests,Bob,volunteer,[],[],Relation
The meeting minutes were recorded on 14/01/20.,The actions carried over from the previous meeting were discussed.,before,[],[],Relation
The actions carried over were to be written down in the minutes.,The meeting minutes were recorded on 14/01/20.,at the same time,[],[],Relation
People listed as responsible will be contacted periodically for updates.,"Updates could be verbal, email or slides in a meeting.",after,[],[],Relation
"Updates could be verbal, email or slides in a meeting.",The people listed as responsible will be contacted periodically for updates.,because,[],[],Relation
Dave asked how he should understand a watching brief.,Dave: how do I understand a watching brief?,because,[],[],Relation
Craig and Ingo explained that a watching brief requires regular updates.,Dave asked how he should understand a watching brief.,because,[],[],Relation
Craig and Ingo mentioned that what was not in the list on page 2 was not discussed.,Craig & Ingo: Anything else than in list on page 2?,at the same time,[],[],Relation
Bob volunteered for electrical tests.,Bob volunteers for electrical tests,as a result,[],[],Relation
The group is supposed to comply with documents provided.,Groups need to comply with documents provided!,because,[],[],Relation
QC groups are supposed to bring the group closer to a state with nice instructions for pre-production.,QC groups are supposed to bring us closer to a state where we have those,because,[],[],Relation
Karola sent an email with the site quali document.,1. Send site quali document email (Karola),as a result,[],[],Relation
Actions carried over 1. Write QC document for coils (Timon/Carl/Satish),Timon,is participated by,[],[],Relation
Actions carried over 1. Write QC document for coils (Timon/Carl/Satish),Carl,is participated by,[],[],Relation
Actions carried over 1. Write QC document for coils (Timon/Carl/Satish),Satish,is participated by,[],[],Relation
Watching brief Item | Responsible | Next update expected HV tab bonding | Jens | 03/02/2020,Jens,is participated by,[],[],Relation
Hybrid crate roll-out | Ash | 03/02/2020,Ash,is participated by,[],[],Relation
Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020,Dave,is participated by,[],[],Relation
Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020,Ankush,is participated by,[],[],Relation
Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020,Sergio,is participated by,[],[],Relation
Powerboard mass tester roll-out | Timon/Karol | 03/02/2020,Timon,is participated by,[],[],Relation
Powerboard mass tester roll-out | Timon/Karol | 03/02/2020,Karol,is participated by,[],[],Relation
Barrel hybrid tendering | Bart/Ash | 03/02/2020,Bart,is participated by,[],[],Relation
Barrel hybrid tendering | Bart/Ash | 03/02/2020,Ash,is participated by,[],[],Relation
Barrel powerboard tendering | Carl/Timon | 03/02/2020,Carl,is participated by,[],[],Relation
Barrel powerboard tendering | Carl/Timon | 03/02/2020,Timon,is participated by,[],[],Relation
EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020,Uli,is participated by,[],[],Relation
EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020,Kambiz,is participated by,[],[],Relation
EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020,Dennis,is participated by,[],[],Relation
EC tooling design/roll-out | Marc | 03/02/2020,Marc,is participated by,[],[],Relation
Barrel tooling design finalisation/roll-out | Sven | 03/02/2020,Sven,is participated by,[],[],Relation
"People listed as responsible will be contacted periodically by Craig & Ingo for updates (certainly on the date listed, if not before!)",Craig,is participated by,[],[],Relation
"People listed as responsible will be contacted periodically by Craig & Ingo for updates (certainly on the date listed, if not before!)",Ingo,is participated by,[],[],Relation
Dave: how do I understand a watching brief?,Dave,is participated by,[],[],Relation
Bob volunteers for electrical tests,Bob,is participated by,[],[],Relation
Site Qualification Survey (Karola) - No questions,Karola,is participated by,[],[],Relation
FMC-DP Status (Craig) - Send email to Craig if you need a “multi module to nexys” card (aka FMC-DP) by ITk week or afterwards,Craig,is participated by,[],[],Relation
1. Send site quali document email (Karola),Karola,is participated by,[],[],Relation
Craig & Ingo,ITk week session,comment,[],[],Relation
Karola,shipping box survey,present,[],[],Relation
Bart,Tony W,discuss,[],[],Relation
Sven,Prototype HV tab holder,question,[],[],Relation
Sven,test coupon design,copy,[],[],Relation
Dennis,Kambiz,inform,[],[],Relation
Sarah & Kunlin,mechanical hybrids,order,[],[],Relation
Dennis,0.25mm core,check,[],[],Relation
Jane,UV glue,test,[],[],Relation
Dennis & Marc,EC Tabs,consider,[],[],Relation
Craig & Ingo,ITk week presenters,email,[],[],Relation
The minutes of the Strip Module Meeting were recorded on 28/01/20.,"Actions were carried over from the meeting, including writing a QC document for coils.",because,[],[],Relation
Craig and Ingo will contact the people listed as responsible periodically for updates.,"Updates could be verbal, email, or slides in a meeting.",at the same time,[],[],Relation
Craig and Ingo introduced the meeting.,A comment was made to move weighing and bonding later in the ITk week session.,after,[],[],Relation
A shipping box survey was conducted.,A question was raised on whether the survey referred to all shipping options.,after,[],[],Relation
A prototype HV tab holder was discussed.,It was useful to save time.,because,[],[],Relation
Vitaliy commented that a prototype HV tab holder was useful.,The prototype HV tab holder was discussed.,at the same time,[],[],Relation
Test coupon measurements were taken.,It was confirmed that ASIC lands on test coupons identical to hybrids.,after,[],[],Relation
It was confirmed that ASIC lands on test coupons identical to hybrids.,Metal trace variability should not affect shield layer functionality.,because,[],[],Relation
It was confirmed that metal trace variability should not affect shield layer functionality.,Via chain will remain.,because,[],[],Relation
It was confirmed that via chain will remain.,The EC is using the same test coupon.,because,[],[],Relation
Kambiz copied the design of the test coupon as far as Sven knows.,The EC is using the same test coupon.,at the same time,[],[],Relation
Dennis will make Kambiz aware of the change proposal.,A change proposal was discussed regarding the test coupon.,after,[],[],Relation
Mechanical endcap hybrids were discussed.,It was confirmed that a 0.25mm core is okay.,after,[],[],Relation
A 0.25mm core was confirmed to be okay.,The tender process is not yet complete.,because,[],[],Relation
Prague wants to order more mechanical hybrids.,Mechanical endcap hybrids were discussed.,after,[],[],Relation
Ordering of mechanical hybrids is not yet closed.,Prague wants to order more mechanical hybrids.,because,[],[],Relation
Karola will add a link to the google sheet to the EC planning meeting agenda.,Prague wants to order more mechanical hybrids.,after,[],[],Relation
A UV and polaris epoxy temperature dependence study was conducted.,It was confirmed that temperature-dependent calibration has been done.,after,[],[],Relation
Temperature-dependent calibration has been done.,The study was conducted.,because,[],[],Relation
A stencil might be more reliable for the UV and polaris epoxy study.,It was confirmed that a stencil might be more reliable.,at the same time,[],[],Relation
It was determined that glue amounts should be checked by weight.,A question was raised on how to check glue amounts.,after,[],[],Relation
Tests for the UV and polaris epoxy temperature dependence were done without hardener.,A study was conducted on the temperature dependence of UV glue.,at the same time,[],[],Relation
The EC HV tab jig was discussed.,A proposal was made to move all EC tabs to 5mm longer.,after,[],[],Relation
It was decided not to move all EC tabs to 5mm longer.,There would be knock-on effects in the cold box design.,because,[],[],Relation
Forest added an additional talk about wire bonding.,"Items were left for discussion, including wire bonding.",after,[],[],Relation
Craig and Ingo will email the ITk week presenters and upload the minutes to indico.,The minutes of the meeting were recorded on 28/01/20.,after,[],[],Relation
Writing a QC document for coils was assigned as an action.,The minutes of the meeting were recorded on 28/01/20.,after,[],[],Relation
Craig and Ingo will email the ITk week presenters and upload the minutes to indico.,Writing a QC document for coils was assigned as an action.,at the same time,[],[],Relation
Craig & Ingo introduced the meeting.,Craig,is participated by,[],[],Relation
Craig & Ingo introduced the meeting.,Ingo,is participated by,[],[],Relation
Craig & Ingo suggested moving weighing and bonding to a later session.,Craig,is participated by,[],[],Relation
Craig & Ingo suggested moving weighing and bonding to a later session.,Ingo,is participated by,[],[],Relation
Karola asked about the shipping box survey.,Karola,is participated by,[],[],Relation
Bart showed the prototype HV tab holder.,Bart,is participated by,[],[],Relation
Vitaliy commented on the usefulness of the HV tab holder.,Vitaliy,is participated by,[],[],Relation
Sven questioned the test coupon measurements.,Sven,is participated by,[],[],Relation
Sven clarified the ASIC lands on test coupons.,Sven,is participated by,[],[],Relation
Dennis confirmed the metal trace variability.,Dennis,is participated by,[],[],Relation
Kambiz was informed about the change proposal.,Kambiz,is participated by,[],[],Relation
Kambiz was informed about the change proposal.,Dennis,is participated by,[],[],Relation
Sarah & Kunlin discussed mechanical endcap hybrids.,Sarah,is participated by,[],[],Relation
Sarah & Kunlin discussed mechanical endcap hybrids.,Kunlin,is participated by,[],[],Relation
Sarah & Kunlin discussed mechanical endcap hybrids.,Dennis,is participated by,[],[],Relation
Dennis confirmed the core thickness.,Dennis,is participated by,[],[],Relation
Prague wanted to order more mechanical hybrids.,Prague,is participated by,[],[],Relation
Prague wanted to order more mechanical hybrids.,Karo,is participated by,[],[],Relation
Jane presented the UV and polaris epoxy temperature dependence.,Jane,is participated by,[],[],Relation
Jane commented on the stencil reliability.,Jane,is participated by,[],[],Relation
Dennis & Marc discussed the EC HV tab jig.,Dennis,is participated by,[],[],Relation
Dennis & Marc discussed the EC HV tab jig.,Marc,is participated by,[],[],Relation
Dennis suggested moving all EC Tabs to 5mm longer.,Dennis,is participated by,[],[],Relation
Forest added a talk about wire bonding.,Forest,is participated by,[],[],Relation
Craig & Ingo were responsible for emailing ITk week presenters and uploading to indico.,Craig,is participated by,[],[],Relation
Craig & Ingo were responsible for emailing ITk week presenters and uploading to indico.,Ingo,is participated by,[],[],Relation
"Timon, Carl, and Satish were responsible for writing the QC document for coils.",Timon,is participated by,[],[],Relation
"Timon, Carl, and Satish were responsible for writing the QC document for coils.",Carl,is participated by,[],[],Relation
"Timon, Carl, and Satish were responsible for writing the QC document for coils.",Satish,is participated by,[],[],Relation
Strip Module Meeting,actions,carried,[],[],Relation
HV tab bonding,update,expected,[],[],Relation
Hybrid crate roll-out,update,expected,[],[],Relation
Module thermal cycling roll-out,update,expected,[],[],Relation
Powerboard mass tester roll-out,update,expected,[],[],Relation
Barrel hybrid tendering,actions,carried,[],[],Relation
Barrel powerboard tendering,actions,carried,[],[],Relation
EC hybrid/powerboard tendering,actions,carried,[],[],Relation
EC tooling design/roll-out,update,expected,[],[],Relation
Barrel tooling design finalisation/roll-out,update,expected,[],[],Relation
DCDC coils,specs,defined,[],[],Relation
QC boundaries,powerboard performance,acceptable,[],[],Relation
powerboard performance,ATLAS performance specs,led,[],[],Relation
wire,specs,defined,[],[],Relation
samples,coils,tested,[],[],Relation
production,quantity,evaluated,[],[],Relation
quantity,"EC 10,000",evaluated,[],[],Relation
overhead,barrel,different,[],[],Relation
Barrel module frame,hybrid panel,finalised,[],[],Relation
module transport frame,clearance,okay,[],[],Relation
high voltage connector,single connector,kept,[],[],Relation
mini display port,labelling,labelled,[],[],Relation
ribbing,transport frame,added,[],[],Relation
injection moulding company,ribbing,optimised,[],[],Relation
The minutes of the Strip Module Meeting were taken on 11/02/20.,Actions were carried over at the meeting.,at the same time,[],[],Relation
Actions were carried over.,The responsible personnel were contacted periodically by Craig & Ingo for updates.,before,[],[],Relation
The responsible personnel were contacted periodically by Craig & Ingo for updates.,They were listed as responsible in the meeting.,because,[],[],Relation
The meeting was introduced by Craig & Ingo.,Nothing was reported from the introduction.,at the same time,[],[],Relation
Nothing was reported from the introduction.,Satish discussed the DCDC coils.,at the same time,[],[],Relation
Satish discussed the DCDC coils.,The QC boundaries of the coils were questioned from a powerboard performance point of view.,because,[],[],Relation
The QC boundaries of the coils were questioned from a powerboard performance point of view.,The specs defined for the coils were not led by ATLAS performance specs.,because,[],[],Relation
The specs defined for the coils were not led by ATLAS performance specs.,The specs were defined more by what is possible with available wire.,because,[],[],Relation
10 samples from each 1/50 of production were tested.,Satish questioned the QC boundaries of the coils.,because,[],[],Relation
500 coils in total were planned to be tested.,10 samples from each 1/50 of production were tested.,because,[],[],Relation
"The quantity of coils was evaluated by EC 10,000.",The risk of yield numbers changing slightly was considered.,because,[],[],Relation
"The quantity of coils was evaluated by EC 10,000.","16,000 for barrel makes sense to Dennis but looks like overhead is slightly different.",at the same time,[],[],Relation
"The quantity of coils was evaluated by EC 10,000.",The risk of yield numbers changing slightly is why typically PRR is the point that large numbers get bought.,at the same time,[],[],Relation
The risk of yield numbers changing slightly is why typically PRR is the point that large numbers get bought.,It is an understood risk to buy everything now.,because,[],[],Relation
The status of powerboard test crate was discussed.,The introduction by Craig & Ingo was completed.,after,[],[],Relation
The barrel module frame and hybrid panel finalisation was discussed.,Clearance on module transport frame for RFID was questioned.,at the same time,[],[],Relation
Clearance on module transport frame for RFID was questioned.,The clearance was potentially at risk.,because,[],[],Relation
The module transport frame for RFID should be okay.,Clearance was questioned on the module transport frame for RFID.,because,[],[],Relation
Craig and Ash will iterate to make sure everything fits together.,The clearance on module transport frame for RFID was questioned.,because,[],[],Relation
It could be tricky to keep track of all the diodes when placing the sensor/module in the frame.,The diodes need to be placed carefully in the frame.,because,[],[],Relation
Removing the diodes along one side or the other could be an option.,It could be tricky to keep track of all the diodes when placing the sensor/module in the frame.,because,[],[],Relation
Gerrit likes the security of all 4 sides.,He prefers to keep the diodes on all four sides of the frame.,because,[],[],Relation
The high voltage connector could be changed to be on a separate connector.,It could improve safety and compatibility.,because,[],[],Relation
The pros of keeping the single connector were discussed.,The high voltage connector could be changed to be on a separate connector.,because,[],[],Relation
The cons of keeping the single connector were discussed.,The high voltage connector could be changed to be on a separate connector.,because,[],[],Relation
Labels for the mini display port were provided on the transport frames.,Labels to be included on the PCB silk screen in case of running without transport frame in place.,at the same time,[],[],Relation
Ribbing was added to the barrel transport frame.,The injection moulding company optimised the ribbing.,before,[],[],Relation
Craig & Ingo gave an introduction for the meeting.,Craig,is participated by,[],[],Relation
Craig & Ingo gave an introduction for the meeting.,Ingo,is participated by,[],[],Relation
Satish discussed the DCDC coils.,Satish,is participated by,[],[],Relation
The quantity of DCDC coils was evaluated.,EC,is participated by,[],[],Relation
The quantity of DCDC coils was evaluated.,production management,is participated by,[],[],Relation
Christian gave a status update on the powerboard test crate.,Christian,is participated by,[],[],Relation
Sven discussed the barrel module frame and hybrid panel finalisation.,Sven,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Sven,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Craig,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Ash,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Gerrit,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Sven,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Craig,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Ash,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Gerrit,is participated by,[],[],Relation
Gerrit discussed the barrel transport frame.,Gerrit,is participated by,[],[],Relation
The ribbing on the barrel transport frame was optimised.,injection moulding company,is participated by,[],[],Relation
The risk of yield numbers changing slightly was discussed.,Dennis,is participated by,[],[],Relation
The risk of yield numbers changing slightly was discussed.,production management,is participated by,[],[],Relation
The ATLAS performance specs were mentioned.,ATLAS,is participated by,[],[],Relation
The quantity of samples for testing was discussed.,Satish,is participated by,[],[],Relation
The quantity of samples for testing was discussed.,EC,is participated by,[],[],Relation
The powerboard performance was discussed.,Satish,is participated by,[],[],Relation
The QC boundaries for the DCDC coils were discussed.,Satish,is participated by,[],[],Relation
The people listed as responsible will be contacted periodically.,Craig,is participated by,[],[],Relation
The people listed as responsible will be contacted periodically.,Ingo,is participated by,[],[],Relation
The action items for the meeting were listed.,Craig,is participated by,[],[],Relation
The action items for the meeting were listed.,Ingo,is participated by,[],[],Relation
Craig,transport frame,forgot,[],[],Relation
suction cups,assembly,help,[],[],Relation
suction cups,surface,stick,[],[],Relation
DI water,surface,makes,[],[],Relation
isoprop,surface,makes,[],[],Relation
humidity indicators,box,use,[],[],Relation
dessicant,box,use,[],[],Relation
BPOL v4,BPOL v5,consider,[],[],Relation
BPOL v4,preproduction,commit,[],[],Relation
BPOL v5,BPOL v4,validate,[],[],Relation
Craig,BPOL v4,speak,[],[],Relation
US,BPOL v4,agree,[],[],Relation
Dennis,BPOL v4,care,[],[],Relation
Sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity,Suction cup “hole” dimensions to be updated (mistake by Craig),because,[],[],Relation
Updated versions will be uploaded to EDMS for discussion,Suction cup “hole” dimensions to be updated (mistake by Craig),after,[],[],Relation
Will include discussion of specified suction cups,Updated versions will be uploaded to EDMS for discussion,at the same time,[],[],Relation
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling",Craig forgot that when assembling the box the transport frame is already screwed in place!!,because,[],[],Relation
Generally seems to make the assembly nicer,Sticking suction cups,as a result,[],[],Relation
Sticking suction cups,Smaller suction cups and correct sized holes do help,because,[],[],Relation
Need to investigate the other materials available,Sticking suction cups,because,[],[],Relation
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",Need to investigate the other materials available,at the same time,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",at the same time,[],[],Relation
SCIPP looking at side pocket solution,"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",because,[],[],Relation
Also N2 flushed sealing rather than vacuum could be an option,"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",because,[],[],Relation
BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,Craig speaks in support of v4 for reasons of schedule risk and previous commitment,after,[],[],Relation
Craig speaks in support of v4 for reasons of schedule risk and previous commitment,BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,because,[],[],Relation
