:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
The next update expected for Barrel hybrid tendering is 03/02/2020.,Bart/Ash are responsible for Barrel hybrid tendering,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],19,Relation
The next update expected for Barrel powerboard tendering is 03/02/2020.,Carl/Timon are responsible for Barrel powerboard tendering,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],20,Relation
The next update expected for EC hybrid/powerboard tendering is 03/02/2020.,Uli/Kambiz/Dennis are responsible for EC hybrid/powerboard tendering,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],21,Relation
The next update expected for EC tooling design/roll-out is 03/02/2020.,Marc is responsible for EC tooling design/roll-out,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],22,Relation
The next update expected for Barrel tooling design finalisation/roll-out is 03/02/2020.,Sven is responsible for Barrel tooling design finalisation/roll-out,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],23,Relation
The minutes of the Strip Module Meeting were recorded on 21/01/20.,CERN,is participated by,"['host', 'feature', 'have', 'sponsor']",[],24,Relation
The minutes of the Strip Module Meeting were recorded on 21/01/20.,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],25,Relation
The minutes of the Strip Module Meeting were recorded on 21/01/20.,Ingo,is participated by,"['host', 'feature', 'have', 'sponsor']",[],26,Relation
"Timon, Carl, and Satish were assigned to write a QC document for coils.",Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],27,Relation
"Timon, Carl, and Satish were assigned to write a QC document for coils.",Carl,is participated by,"['host', 'feature', 'have', 'sponsor']",[],28,Relation
"Timon, Carl, and Satish were assigned to write a QC document for coils.",Satish,is participated by,"['host', 'feature', 'have', 'sponsor']",[],29,Relation
Jens was responsible for monitoring the HV tab bonding.,Jens,is participated by,"['host', 'feature', 'have', 'sponsor']",[],30,Relation
The roll-out of the hybrid crate was expected to begin on 03/02/2020.,Ash,is participated by,"['host', 'feature', 'have', 'sponsor']",[],31,Relation
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",Dave,is participated by,"['host', 'feature', 'have', 'sponsor']",[],32,Relation
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",Ankush,is participated by,"['host', 'feature', 'have', 'sponsor']",[],33,Relation
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.",Sergio,is participated by,"['host', 'feature', 'have', 'sponsor']",[],34,Relation
Timon and Karol were assigned to roll out the powerboard mass tester.,Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],35,Relation
Timon and Karol were assigned to roll out the powerboard mass tester.,Karol,is participated by,"['host', 'feature', 'have', 'sponsor']",[],36,Relation
Bart and Ash were responsible for the tendering of the barrel hybrid.,Bart,is participated by,"['host', 'feature', 'have', 'sponsor']",[],37,Relation
Bart and Ash were responsible for the tendering of the barrel hybrid.,Ash,is participated by,"['host', 'feature', 'have', 'sponsor']",[],38,Relation
Carl and Timon were assigned to tender the barrel powerboard.,Carl,is participated by,"['host', 'feature', 'have', 'sponsor']",[],39,Relation
Carl and Timon were assigned to tender the barrel powerboard.,Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],40,Relation
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",Uli,is participated by,"['host', 'feature', 'have', 'sponsor']",[],41,Relation
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",Kambiz,is participated by,"['host', 'feature', 'have', 'sponsor']",[],42,Relation
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.",Dennis,is participated by,"['host', 'feature', 'have', 'sponsor']",[],43,Relation
Marc was assigned to design and roll out the EC tooling.,Marc,is participated by,"['host', 'feature', 'have', 'sponsor']",[],44,Relation
Sven was responsible for finalizing and rolling out the barrel tooling design.,Sven,is participated by,"['host', 'feature', 'have', 'sponsor']",[],45,Relation
Craig and Ingo would be in touch with the responsible individuals periodically for updates.,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],46,Relation
Craig and Ingo would be in touch with the responsible individuals periodically for updates.,Ingo,is participated by,"['host', 'feature', 'have', 'sponsor']",[],47,Relation
Luise provided a tutorial on uploading test results to the database.,Luise,is participated by,"['host', 'feature', 'have', 'sponsor']",[],48,Relation
Strip Module Meeting Minutes,appear,will,"['intend to', 'commit to', 'plan to', 'propose to', 'decide to']",[],49,Relation
google docs,minutes,use,"['employ', 'utilize', 'apply', 'adopt']",[],50,Relation
action list,important,is,"['equal', 'constitute', 'belong', 'represent', 'exist']",[],51,Relation
QC groups,add,should,"['require', 'expected', 'necessary', 'must', 'ought']",[],52,Relation
powerboard mass tester,list,add,"['augment', 'increase', 'append', 'enlarge']",[],53,Relation
module thermal cycling setup,list,add,"['augment', 'increase', 'append', 'enlarge']",[],54,Relation
hybrid crate setup,list,add,"['augment', 'increase', 'append', 'enlarge']",[],55,Relation
Hybrid crate status,do,should,"['require', 'expected', 'necessary', 'must', 'ought']",[],56,Relation
FMC-DP,trickier,be,"['occur', 'happen', 'be present', 'take place', 'exist']",[],57,Relation
output buffers,trickiness,cause,"['produce', 'provoke', 'induce', 'initiate', 'lead to', 'trigger', 'prompt', 'create', 'result in']",[],58,Relation
UV LED driver,no questions,has,"['possess', 'hold', 'own', 'contain', 'have']",[],59,Relation
DCDC coil order,be run,need,"['require', 'demand', 'necessity', 'obligation']",[],60,Relation
Uli,sign-off,need,"['require', 'demand', 'necessity', 'obligation']",[],61,Relation
Didier et al.,sign-off,need,"['require', 'demand', 'necessity', 'obligation']",[],62,Relation
QC steps,magnet tests,include,"['contain', 'comprise', 'encompass']",[],63,Relation
QC steps,irradiation,include,"['contain', 'comprise', 'encompass']",[],64,Relation
QC steps,temperature range,include,"['contain', 'comprise', 'encompass']",[],65,Relation
QC steps,solder joint,include,"['contain', 'comprise', 'encompass']",[],66,Relation
QC steps,purchasing components,include,"['contain', 'comprise', 'encompass']",[],67,Relation
Barrel powerboards,not,should,"['require', 'expected', 'necessary', 'must', 'ought']",[],68,Relation
Barrel hybrids,not,should,"['require', 'expected', 'necessary', 'must', 'ought']",[],69,Relation
EC,not,should,"['require', 'expected', 'necessary', 'must', 'ought']",[],70,Relation
Review office,happy,is,"['equal', 'constitute', 'belong', 'represent', 'exist']",[],71,Relation
email,volunteers,send,"['dispatch', 'convey', 'forward', 'transmit', 'ship']",[],72,Relation
QC document,Timon/Carl/Satish,write,"['produce', 'pen', 'author', 'create', 'compose', 'draft']",[],73,Relation
review office,Tony A,contact,"['get in touch', 'reach', 'reach out', 'connect', 'link', 'touch']",[],74,Relation
The participants decided to appear in the minutes from next week onwards.,The minutes will appear in this space from next week onwards.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],75,Relation
Craig introduced the topic of minutes.,Suggestion for minutes - (Bart) suggestion to use google docs for minutes and allow others to help with minuting.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],76,Relation
Bart suggested using Google Docs for minutes and allowing others to help with minuting.,Phil pointed out that the action list is probably the most important part of all of this.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],77,Relation
Phil pointed out that the action list is probably the most important part of all of this.,The participants discussed the QC groups.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],78,Relation
Tony suggested adding a hybrid/module assembly group to the list.,Craig agreed to add this to the list in 3 months or so.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],79,Relation
Craig agreed to add the hybrid/module assembly group to the list in 3 months or so.,"They discussed the powerboard mass tester, module thermal cycling setup, and hybrid crate setup.",because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],80,Relation
Ash reported on the hybrid crate status.,Craig suggested doing the same on FMC-DP.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],81,Relation
Craig suggested doing the same on FMC-DP.,Vitaliy pointed out that it would be bit trickier due to output buffers.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],82,Relation
Vitaliy pointed out that it would be bit trickier due to output buffers.,They discussed the possible solutions such as back termination.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],83,Relation
Craig reported on the UV LED driver.,There were no questions.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],84,Relation
Carl reported on the DCDC coil order.,Barrel (Timon) was happy to sign-off.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],85,Relation
Barrel (Timon) was happy to sign-off.,Tony and Craig agreed that they would need to run it past Uli for BMBF part.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],86,Relation
Tony and Craig agreed that they would need to run it past Uli for BMBF part.,They also needed to run it past Didier et al.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],87,Relation
Tony and Craig agreed that they would need to run it past Didier et al.,This could be done along with the passive components.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],88,Relation
Dennis agreed that Timon was happy.,Ulli was also happy.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],89,Relation
Ulli was also happy.,Craig asked about the QC steps.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],90,Relation
Craig asked about the QC steps.,Satish answered that the QC steps would include magnet tests at Yale and irradiation at BNL.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],91,Relation
Satish answered that the QC steps would include magnet tests at Yale and irradiation at BNL.,"Carl, Satish, and Timon were tasked with writing a document on the QC steps.",because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],92,Relation
"Carl, Satish, and Timon were tasked with writing a document on the QC steps.",Tony A was tasked with contacting the review office about coil ordering.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],93,Relation
Craig assigned tasks to the participants.,The participants agreed on the tasks and the next steps.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],94,Relation
Suggestion for minutes to use Google Docs was made by Bart.,Bart,is participated by,"['host', 'feature', 'have', 'sponsor']",[],95,Relation
Suggestion for minutes to use Google Docs was made by Bart.,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],96,Relation
Suggestion for minutes to use Google Docs was made by Bart.,Phil,is participated by,"['host', 'feature', 'have', 'sponsor']",[],97,Relation
"QC groups should be added to the list, including a hybrid/module assembly group.",Tony,is participated by,"['host', 'feature', 'have', 'sponsor']",[],98,Relation
"QC groups should be added to the list, including a hybrid/module assembly group.",Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],99,Relation
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.",Ash,is participated by,"['host', 'feature', 'have', 'sponsor']",[],100,Relation
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.",Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],101,Relation
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.",Vitaliy,is participated by,"['host', 'feature', 'have', 'sponsor']",[],102,Relation
UV LED driver was discussed without any questions.,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],103,Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Carl,is participated by,"['host', 'feature', 'have', 'sponsor']",[],104,Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],105,Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Tony,is participated by,"['host', 'feature', 'have', 'sponsor']",[],106,Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],107,Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Ulli,is participated by,"['host', 'feature', 'have', 'sponsor']",[],108,Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Dennis,is participated by,"['host', 'feature', 'have', 'sponsor']",[],109,Relation
"DCDC coil order was discussed, with Barrel being happy to sign-off.",Satish,is participated by,"['host', 'feature', 'have', 'sponsor']",[],110,Relation
"QC steps for coil order were discussed, with Satish answering.",Carl,is participated by,"['host', 'feature', 'have', 'sponsor']",[],111,Relation
"QC steps for coil order were discussed, with Satish answering.",Satish,is participated by,"['host', 'feature', 'have', 'sponsor']",[],112,Relation
"QC steps for coil order were discussed, with Satish answering.",Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],113,Relation
Email was sent around for volunteers for QC groups.,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],114,Relation
QC document for coils was assigned to Timon/Carl/Satish to write.,Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],115,Relation
QC document for coils was assigned to Timon/Carl/Satish to write.,Carl,is participated by,"['host', 'feature', 'have', 'sponsor']",[],116,Relation
QC document for coils was assigned to Timon/Carl/Satish to write.,Satish,is participated by,"['host', 'feature', 'have', 'sponsor']",[],117,Relation
Review office was contacted about coil ordering by Tony A.,Tony A,is participated by,"['host', 'feature', 'have', 'sponsor']",[],118,Relation
Minutes,Strip Module Meeting,carry,"['bear', 'hold', 'convey', 'support', 'lift']",[],119,Relation
Actions,over,carry,"['bear', 'hold', 'convey', 'support', 'lift']",[],120,Relation
QC document,coils,write,"['produce', 'pen', 'author', 'create', 'compose', 'draft']",[],121,Relation
QC document,pre-production,bring,"['bring', 'transport', 'move', 'carry', 'transfer']",[],122,Relation
QC groups,documents,comply,"['conform', 'adhere', 'obey', 'follow']",[],123,Relation
Updates,Craig & Ingo,give,"['present', 'share', 'impart', 'bestow', 'donate']",[],124,Relation
Updates,topics,focus,"['prioritize', 'center', 'concentrate', 'emphasis', 'attention']",[],125,Relation
Instructions,pre-production,need,"['require', 'demand', 'necessity', 'obligation']",[],126,Relation
FMC-DP,email,send,"['dispatch', 'convey', 'forward', 'transmit', 'ship']",[],127,Relation
FMC-DP,google doc,update,"['change', 'refresh', 'modify', 'renew', 'revise']",[],128,Relation
Site Qualification Survey,email,send,"['dispatch', 'convey', 'forward', 'transmit', 'ship']",[],129,Relation
FDR,documents,start,"['ignite', 'launch', 'commence', 'initiate', 'begin', 'spark']",[],130,Relation
Electrical tests,Bob,volunteer,"['offer', 'contribute', 'give', 'donate', 'participate']",[],131,Relation
The meeting minutes were recorded on 14/01/20.,The actions carried over from the previous meeting were discussed.,before,"['earlier', 'prior', 'precede', 'lead', 'precedes']",[],132,Relation
The actions carried over were to be written down in the minutes.,The meeting minutes were recorded on 14/01/20.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],133,Relation
People listed as responsible will be contacted periodically for updates.,"Updates could be verbal, email or slides in a meeting.",after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],134,Relation
"Updates could be verbal, email or slides in a meeting.",The people listed as responsible will be contacted periodically for updates.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],135,Relation
Dave asked how he should understand a watching brief.,Dave: how do I understand a watching brief?,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],136,Relation
Craig and Ingo explained that a watching brief requires regular updates.,Dave asked how he should understand a watching brief.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],137,Relation
Craig and Ingo mentioned that what was not in the list on page 2 was not discussed.,Craig & Ingo: Anything else than in list on page 2?,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],138,Relation
Bob volunteered for electrical tests.,Bob volunteers for electrical tests,as a result,"['yield', 'outcome', 'consequence', 'effect', 'result', 'lead', 'follow']",[],139,Relation
The group is supposed to comply with documents provided.,Groups need to comply with documents provided!,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],140,Relation
QC groups are supposed to bring the group closer to a state with nice instructions for pre-production.,QC groups are supposed to bring us closer to a state where we have those,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],141,Relation
Karola sent an email with the site quali document.,1. Send site quali document email (Karola),as a result,"['yield', 'outcome', 'consequence', 'effect', 'result', 'lead', 'follow']",[],142,Relation
Actions carried over 1. Write QC document for coils (Timon/Carl/Satish),Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],143,Relation
Actions carried over 1. Write QC document for coils (Timon/Carl/Satish),Carl,is participated by,"['host', 'feature', 'have', 'sponsor']",[],144,Relation
Actions carried over 1. Write QC document for coils (Timon/Carl/Satish),Satish,is participated by,"['host', 'feature', 'have', 'sponsor']",[],145,Relation
Watching brief Item | Responsible | Next update expected HV tab bonding | Jens | 03/02/2020,Jens,is participated by,"['host', 'feature', 'have', 'sponsor']",[],146,Relation
Hybrid crate roll-out | Ash | 03/02/2020,Ash,is participated by,"['host', 'feature', 'have', 'sponsor']",[],147,Relation
Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020,Dave,is participated by,"['host', 'feature', 'have', 'sponsor']",[],148,Relation
Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020,Ankush,is participated by,"['host', 'feature', 'have', 'sponsor']",[],149,Relation
Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020,Sergio,is participated by,"['host', 'feature', 'have', 'sponsor']",[],150,Relation
Powerboard mass tester roll-out | Timon/Karol | 03/02/2020,Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],151,Relation
Powerboard mass tester roll-out | Timon/Karol | 03/02/2020,Karol,is participated by,"['host', 'feature', 'have', 'sponsor']",[],152,Relation
Barrel hybrid tendering | Bart/Ash | 03/02/2020,Bart,is participated by,"['host', 'feature', 'have', 'sponsor']",[],153,Relation
Barrel hybrid tendering | Bart/Ash | 03/02/2020,Ash,is participated by,"['host', 'feature', 'have', 'sponsor']",[],154,Relation
Barrel powerboard tendering | Carl/Timon | 03/02/2020,Carl,is participated by,"['host', 'feature', 'have', 'sponsor']",[],155,Relation
Barrel powerboard tendering | Carl/Timon | 03/02/2020,Timon,is participated by,"['host', 'feature', 'have', 'sponsor']",[],156,Relation
EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020,Uli,is participated by,"['host', 'feature', 'have', 'sponsor']",[],157,Relation
EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020,Kambiz,is participated by,"['host', 'feature', 'have', 'sponsor']",[],158,Relation
EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020,Dennis,is participated by,"['host', 'feature', 'have', 'sponsor']",[],159,Relation
EC tooling design/roll-out | Marc | 03/02/2020,Marc,is participated by,"['host', 'feature', 'have', 'sponsor']",[],160,Relation
Barrel tooling design finalisation/roll-out | Sven | 03/02/2020,Sven,is participated by,"['host', 'feature', 'have', 'sponsor']",[],161,Relation
"People listed as responsible will be contacted periodically by Craig & Ingo for updates (certainly on the date listed, if not before!)",Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],162,Relation
"People listed as responsible will be contacted periodically by Craig & Ingo for updates (certainly on the date listed, if not before!)",Ingo,is participated by,"['host', 'feature', 'have', 'sponsor']",[],163,Relation
Dave: how do I understand a watching brief?,Dave,is participated by,"['host', 'feature', 'have', 'sponsor']",[],164,Relation
Bob volunteers for electrical tests,Bob,is participated by,"['host', 'feature', 'have', 'sponsor']",[],165,Relation
Site Qualification Survey (Karola) - No questions,Karola,is participated by,"['host', 'feature', 'have', 'sponsor']",[],166,Relation
FMC-DP Status (Craig) - Send email to Craig if you need a “multi module to nexys” card (aka FMC-DP) by ITk week or afterwards,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],167,Relation
1. Send site quali document email (Karola),Karola,is participated by,"['host', 'feature', 'have', 'sponsor']",[],168,Relation
Craig & Ingo,ITk week session,comment,"['offer opinions', 'share thoughts', 'give feedback']",[],169,Relation
Karola,shipping box survey,present,"['appear', 'show up', 'be there', 'exist']",[],170,Relation
Bart,Tony W,discuss,"['talk', 'deliberate', 'debate', 'converse']",[],171,Relation
Sven,Prototype HV tab holder,question,"['query', 'inquire', 'interrogate', 'ask', 'probe']",[],172,Relation
Sven,test coupon design,copy,"['reproduce', 'duplicate', 'replicate', 'imitate', 'mirror']",[],173,Relation
Dennis,Kambiz,inform,"['disclose', 'share', 'enlighten', 'notify', 'advise']",[],174,Relation
Sarah & Kunlin,mechanical hybrids,order,"['sequence', 'arrange', 'organize', 'rank']",[],175,Relation
Dennis,0.25mm core,check,"['inspect', 'examine', 'test', 'verify']",[],176,Relation
Jane,UV glue,test,"['try', 'evaluate', 'examine']",[],177,Relation
Dennis & Marc,EC Tabs,consider,"['think', 'ponder', 'regard', 'analyze', 'view']",[],178,Relation
Craig & Ingo,ITk week presenters,email,"['contact', 'communicate', 'send', 'message']",[],179,Relation
The minutes of the Strip Module Meeting were recorded on 28/01/20.,"Actions were carried over from the meeting, including writing a QC document for coils.",because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],180,Relation
Craig and Ingo will contact the people listed as responsible periodically for updates.,"Updates could be verbal, email, or slides in a meeting.",at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],181,Relation
Craig and Ingo introduced the meeting.,A comment was made to move weighing and bonding later in the ITk week session.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],182,Relation
A shipping box survey was conducted.,A question was raised on whether the survey referred to all shipping options.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],183,Relation
A prototype HV tab holder was discussed.,It was useful to save time.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],184,Relation
Vitaliy commented that a prototype HV tab holder was useful.,The prototype HV tab holder was discussed.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],185,Relation
Test coupon measurements were taken.,It was confirmed that ASIC lands on test coupons identical to hybrids.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],186,Relation
It was confirmed that ASIC lands on test coupons identical to hybrids.,Metal trace variability should not affect shield layer functionality.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],187,Relation
It was confirmed that metal trace variability should not affect shield layer functionality.,Via chain will remain.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],188,Relation
It was confirmed that via chain will remain.,The EC is using the same test coupon.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],189,Relation
Kambiz copied the design of the test coupon as far as Sven knows.,The EC is using the same test coupon.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],190,Relation
Dennis will make Kambiz aware of the change proposal.,A change proposal was discussed regarding the test coupon.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],191,Relation
Mechanical endcap hybrids were discussed.,It was confirmed that a 0.25mm core is okay.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],192,Relation
A 0.25mm core was confirmed to be okay.,The tender process is not yet complete.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],193,Relation
Prague wants to order more mechanical hybrids.,Mechanical endcap hybrids were discussed.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],194,Relation
Ordering of mechanical hybrids is not yet closed.,Prague wants to order more mechanical hybrids.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],195,Relation
Karola will add a link to the google sheet to the EC planning meeting agenda.,Prague wants to order more mechanical hybrids.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],196,Relation
A UV and polaris epoxy temperature dependence study was conducted.,It was confirmed that temperature-dependent calibration has been done.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],197,Relation
Temperature-dependent calibration has been done.,The study was conducted.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],198,Relation
A stencil might be more reliable for the UV and polaris epoxy study.,It was confirmed that a stencil might be more reliable.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],199,Relation
It was determined that glue amounts should be checked by weight.,A question was raised on how to check glue amounts.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],200,Relation
Tests for the UV and polaris epoxy temperature dependence were done without hardener.,A study was conducted on the temperature dependence of UV glue.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],201,Relation
The EC HV tab jig was discussed.,A proposal was made to move all EC tabs to 5mm longer.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],202,Relation
It was decided not to move all EC tabs to 5mm longer.,There would be knock-on effects in the cold box design.,because,"['owing to', 'thanks to', 'as a result of', 'due to']",[],203,Relation
Forest added an additional talk about wire bonding.,"Items were left for discussion, including wire bonding.",after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],204,Relation
Craig and Ingo will email the ITk week presenters and upload the minutes to indico.,The minutes of the meeting were recorded on 28/01/20.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],205,Relation
Writing a QC document for coils was assigned as an action.,The minutes of the meeting were recorded on 28/01/20.,after,"['later', 'afterwards', 'next', 'afterward', 'follow']",[],206,Relation
Craig and Ingo will email the ITk week presenters and upload the minutes to indico.,Writing a QC document for coils was assigned as an action.,at the same time,"['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']",[],207,Relation
Craig & Ingo introduced the meeting.,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],208,Relation
Craig & Ingo introduced the meeting.,Ingo,is participated by,"['host', 'feature', 'have', 'sponsor']",[],209,Relation
Craig & Ingo suggested moving weighing and bonding to a later session.,Craig,is participated by,"['host', 'feature', 'have', 'sponsor']",[],210,Relation
